,HEBT2:Q7:CUR,HEBT2:Q8:CUR,DRA:Q1:CUR,DRA:Q2:CUR
91,0.24557163411741081,0.2993889401583441,0.40136218167074894,0.8238281326792434
92,0.2590568454055563,0.3105763212029078,0.4169760159321103,0.8302547569051564
93,0.25818088009149404,0.3106560323057526,0.4159667822941413,0.8301175451620424
94,0.2620455986786161,0.3128324041686002,0.4204367716505,0.8344493852053335
95,0.2579632414530611,0.3131413020682606,0.4215232628389528,0.8360065013632353
96,0.25447733242989945,0.31279626102558716,0.42068694252682765,0.8364192565208788
97,0.24914956161594198,0.31245448648031515,0.42137073380895684,0.8380041235945542
98,0.24454195273095525,0.3118502663495815,0.4206347099781807,0.83867712709406
99,0.2430621227921668,0.31133872593009854,0.4190044066282861,0.8380725735533325
100,0.23904647128127726,0.31059245081108316,0.4180551620805281,0.8377132609800911
101,0.23316660201651584,0.31032164314930466,0.4190765993888699,0.8399939772439122
102,0.23004249012297656,0.3097991612143494,0.4178564107459735,0.8399150806238568
103,0.23426106180022738,0.3100144132262235,0.4181498157806023,0.8389553014742734
104,0.23017661059710706,0.3095830744969288,0.4177472982553265,0.8393877945386106
105,0.2324914335254669,0.30959934925404503,0.417099535985781,0.8385193852189097
106,0.2321693541146414,0.3093139115706904,0.4158914885317541,0.8375038617319347
107,0.24107762455810783,0.3111346084168431,0.42005683790482234,0.8391927480269683
108,0.24039395752711762,0.3107737445854534,0.4185397367772987,0.8385009485442628
109,0.23961887502573617,0.31040476096495706,0.4170805586696652,0.8377648315370965
110,0.24196477962237506,0.3108103372299492,0.41729295929541477,0.8381459928188554
111,0.2418234873019951,0.31097607254980664,0.416430252670991,0.8373550625086228
112,0.24302422587896733,0.31113400767477306,0.4161752575767943,0.837915594723119
113,0.2507736918675749,0.31403204923240374,0.42269640718269136,0.8061200383242993
114,0.2504489431842366,0.31392784835888937,0.42212905525973043,0.808087870763788
115,0.2496744164779815,0.31357426927856763,0.42084502423090553,0.8070025736167978
116,0.24939029766123863,0.3134486003524379,0.4200912625793699,0.80687901643099
117,0.2485812945709308,0.31318286258450956,0.41880394828759865,0.8067481497945701
118,0.24806039544149072,0.314349362773428,0.42122859050740763,0.8082771060096023
119,0.24626395202243856,0.31605782191159204,0.42248602147471903,0.8097850844139758
120,0.2519815638754289,0.3165292434279988,0.4236568907053837,0.8141861443353128
121,0.25126092634049396,0.31647516105360773,0.42238657011086655,0.8135331245964466
122,0.25196571117593464,0.3168036445758296,0.42245733406981606,0.8120604131597716
123,0.2512512034012534,0.316676581761298,0.4212793196226102,0.8112684714541001
124,0.2496640687686617,0.31613601007936054,0.42072077131102303,0.8127361011715529
125,0.24907043320801092,0.3154617660461727,0.4205271581542177,0.8113700057372952
126,0.25980017022707264,0.31884478740663214,0.4308967347987803,0.8214538627648085
127,0.2583658672648169,0.3193980485867703,0.4301151859974305,0.8212088645405516
128,0.25691844901290956,0.3191490527847598,0.42951972410731437,0.8226909231111875
129,0.25752821379507823,0.3183594668706661,0.4298342842265738,0.8243439332547955
130,0.2634013524508774,0.3198553563110471,0.4397049247473025,0.833734656357763
